Zip2,Region
1,Northeast
2,Northeast
3,Northeast
4,Northeast
5,Northeast
6,Northeast
7,Northeast
8,Northeast
9,Northeast
10,Northeast
11,Northeast
12,Northeast
13,Northeast
14,Northeast
15,Northeast
16,Northeast
17,Northeast
18,Northeast
19,Northeast
20,Northeast
21,Northeast
22,Northeast
23,Northeast
24,Northeast
25,Northeast
26,Northeast
27,Southeast
28,Southeast
29,Southeast
30,Southeast
31,Southeast
32,Southeast
33,Southeast
34,Southeast
35,Southeast
36,Southeast
37,Southeast
38,Southeast
39,Southeast
40,Midwest
41,Midwest
42,Midwest
43,Midwest
44,Midwest
45,Midwest
46,Midwest
47,Midwest
48,Midwest
49,Midwest
50,Midwest
51,Midwest
52,Midwest
53,Midwest
54,Midwest
55,Midwest
56,Midwest
57,Central
58,Central
59,Northwest
60,Midwest
61,Midwest
62,Midwest
63,Midwest
64,Midwest
65,Midwest
66,Central
67,Central
68,Central
69,Central
70,Southeast
71,Central
72,Central
73,Central
74,Central
75,Central
76,Central
77,Central
78,Central
79,Central
80,Central
81,Central
82,Central
83,Northwest
84,Southwest
85,Southwest
86,Southwest
87,Central
88,Central
89,Western
90,Western
91,Western
92,Western
93,Western
94,Western
95,Western
96,Western
97,Northwest
98,Northwest
99,Northwest
